algorithm,data_type,array_size,avg_time_us,avg_char_comparisons
msd_radix_sort_with_quicksort,reverse_sorted,2400,212.40,18729.00
standard_quicksort,reverse_sorted,2500,272.70,345551.00
standard_mergesort,reverse_sorted,2500,874.70,23073.00
ternary_string_quicksort,reverse_sorted,2500,91.40,38158.00
lcp_mergesort,reverse_sorted,2500,1235.50,9861.00
msd_radix_sort,reverse_sorted,2500,825.00,6052.00
msd_radix_sort_with_quicksort,reverse_sorted,2500,222.20,19486.00
standard_quicksort,reverse_sorted,2600,293.70,370014.00
standard_mergesort,reverse_sorted,2600,882.30,24160.00
ternary_string_quicksort,reverse_sorted,2600,93.10,39774.00
lcp_mergesort,reverse_sorted,2600,1278.70,10415.00
msd_radix_sort,reverse_sorted,2600,852.20,6287.00
msd_radix_sort_with_quicksort,reverse_sorted,2600,230.10,20280.00
standard_quicksort,reverse_sorted,2700,308.90,389570.00
standard_mergesort,reverse_sorted,2700,930.80,25333.00
ternary_string_quicksort,reverse_sorted,2700,99.10,41347.00
lcp_mergesort,reverse_sorted,2700,1333.00,10856.00
msd_radix_sort,reverse_sorted,2700,919.10,6532.00
msd_radix_sort_with_quicksort,reverse_sorted,2700,239.00,21082.00
standard_quicksort,reverse_sorted,2800,330.50,409699.00
standard_mergesort,reverse_sorted,2800,1176.90,26207.00
ternary_string_quicksort,reverse_sorted,2800,102.40,43001.00
lcp_mergesort,reverse_sorted,2800,1420.10,11138.00
msd_radix_sort,reverse_sorted,2800,905.40,6769.00
msd_radix_sort_with_quicksort,reverse_sorted,2800,250.10,21853.00
standard_quicksort,reverse_sorted,2900,342.60,434594.00
standard_mergesort,reverse_sorted,2900,1014.70,27116.00
ternary_string_quicksort,reverse_sorted,2900,113.40,44797.00
lcp_mergesort,reverse_sorted,2900,1449.80,11492.00
msd_radix_sort,reverse_sorted,2900,951.70,7019.00
msd_radix_sort_with_quicksort,reverse_sorted,2900,262.40,22638.00
standard_quicksort,reverse_sorted,3000,363.80,460208.00
standard_mergesort,reverse_sorted,3000,1058.70,28152.00
ternary_string_quicksort,reverse_sorted,3000,115.20,46536.00
lcp_mergesort,reverse_sorted,3000,1516.70,11985.00
msd_radix_sort,reverse_sorted,3000,991.50,7259.00
msd_radix_sort_with_quicksort,reverse_sorted,3000,263.70,23426.00
standard_quicksort,nearly_sorted,100,9.60,13986.00
standard_mergesort,nearly_sorted,100,11.90,655.00
ternary_string_quicksort,nearly_sorted,100,2.40,949.00
lcp_mergesort,nearly_sorted,100,22.90,379.00
msd_radix_sort,nearly_sorted,100,25.70,240.00
msd_radix_sort_with_quicksort,nearly_sorted,100,6.40,758.00
standard_quicksort,nearly_sorted,200,19.90,28220.00
standard_mergesort,nearly_sorted,200,29.20,1480.00
ternary_string_quicksort,nearly_sorted,200,5.00,2097.00
lcp_mergesort,nearly_sorted,200,58.30,783.00
msd_radix_sort,nearly_sorted,200,58.30,490.00
msd_radix_sort_with_quicksort,nearly_sorted,200,14.00,1570.00
standard_quicksort,nearly_sorted,300,28.80,36750.00
standard_mergesort,nearly_sorted,300,50.90,2327.00
ternary_string_quicksort,nearly_sorted,300,7.70,3312.00
lcp_mergesort,nearly_sorted,300,97.30,1179.00
msd_radix_sort,nearly_sorted,300,87.00,727.00
msd_radix_sort_with_quicksort,nearly_sorted,300,20.40,2388.00
standard_quicksort,nearly_sorted,400,45.00,57369.00
standard_mergesort,nearly_sorted,400,69.00,3201.00
ternary_string_quicksort,nearly_sorted,400,10.00,4724.00
lcp_mergesort,nearly_sorted,400,137.10,1576.00
msd_radix_sort,nearly_sorted,400,117.70,972.00
msd_radix_sort_with_quicksort,nearly_sorted,400,30.50,3195.00
standard_quicksort,nearly_sorted,500,48.30,60581.00
standard_mergesort,nearly_sorted,500,88.00,4295.00
ternary_string_quicksort,nearly_sorted,500,12.80,6007.00
lcp_mergesort,nearly_sorted,500,177.50,2097.00
msd_radix_sort,nearly_sorted,500,145.10,1207.00
msd_radix_sort_with_quicksort,nearly_sorted,500,39.30,4006.00
standard_quicksort,nearly_sorted,600,61.20,76215.00
standard_mergesort,nearly_sorted,600,118.60,5073.00
ternary_string_quicksort,nearly_sorted,600,17.30,7576.00
lcp_mergesort,nearly_sorted,600,223.10,2454.00
msd_radix_sort,nearly_sorted,600,174.60,1446.00
msd_radix_sort_with_quicksort,nearly_sorted,600,48.00,4805.00
standard_quicksort,nearly_sorted,700,79.70,103372.00
standard_mergesort,nearly_sorted,700,132.30,5945.00
ternary_string_quicksort,nearly_sorted,700,18.60,8894.00
lcp_mergesort,nearly_sorted,700,276.50,2872.00
msd_radix_sort,nearly_sorted,700,201.90,1687.00
msd_radix_sort_with_quicksort,nearly_sorted,700,56.40,5570.00
standard_quicksort,nearly_sorted,800,95.30,118345.00
standard_mergesort,nearly_sorted,800,161.70,6801.00
ternary_string_quicksort,nearly_sorted,800,22.30,10301.00
lcp_mergesort,nearly_sorted,800,322.70,3191.00
msd_radix_sort,nearly_sorted,800,225.70,1922.00
msd_radix_sort_with_quicksort,nearly_sorted,800,63.90,6387.00
standard_quicksort,nearly_sorted,900,96.70,121869.00
standard_mergesort,nearly_sorted,900,198.90,7943.00
ternary_string_quicksort,nearly_sorted,900,25.50,12038.00
lcp_mergesort,nearly_sorted,900,366.90,3691.00
msd_radix_sort,nearly_sorted,900,259.60,2166.00
msd_radix_sort_with_quicksort,nearly_sorted,900,72.00,7189.00
standard_quicksort,nearly_sorted,1000,98.60,123664.00
standard_mergesort,nearly_sorted,1000,223.30,8959.00
