algorithm,data_type,array_size,run_id,time_us,char_comparisons
standard_quicksort,reverse_sorted,1500,3,200,229499
standard_quicksort,reverse_sorted,1500,4,181,229499
standard_quicksort,reverse_sorted,1500,5,170,229499
standard_quicksort,reverse_sorted,1500,6,184,229499
standard_quicksort,reverse_sorted,1500,7,192,229499
standard_quicksort,reverse_sorted,1500,8,184,229499
standard_quicksort,reverse_sorted,1500,9,176,229499
standard_quicksort,reverse_sorted,1500,10,172,229499
standard_quicksort,reverse_sorted,1600,1,185,231752
standard_quicksort,reverse_sorted,1600,2,189,231752
standard_quicksort,reverse_sorted,1600,3,178,231752
standard_quicksort,reverse_sorted,1600,4,200,231752
standard_quicksort,reverse_sorted,1600,5,185,231752
standard_quicksort,reverse_sorted,1600,6,185,231752
standard_quicksort,reverse_sorted,1600,7,188,231752
standard_quicksort,reverse_sorted,1600,8,195,231752
standard_quicksort,reverse_sorted,1600,9,186,231752
standard_quicksort,reverse_sorted,1600,10,178,231752
standard_quicksort,reverse_sorted,1700,1,207,235032
standard_quicksort,reverse_sorted,1700,2,201,235032
standard_quicksort,reverse_sorted,1700,3,195,235032
standard_quicksort,reverse_sorted,1700,4,203,235032
standard_quicksort,reverse_sorted,1700,5,192,235032
standard_quicksort,reverse_sorted,1700,6,184,235032
standard_quicksort,reverse_sorted,1700,7,184,235032
standard_quicksort,reverse_sorted,1700,8,218,235032
standard_quicksort,reverse_sorted,1700,9,181,235032
standard_quicksort,reverse_sorted,1700,10,189,235032
standard_quicksort,reverse_sorted,1800,1,216,237405
standard_quicksort,reverse_sorted,1800,2,182,237405
standard_quicksort,reverse_sorted,1800,3,192,237405
standard_quicksort,reverse_sorted,1800,4,188,237405
standard_quicksort,reverse_sorted,1800,5,182,237405
standard_quicksort,reverse_sorted,1800,6,182,237405
standard_quicksort,reverse_sorted,1800,7,187,237405
standard_quicksort,reverse_sorted,1800,8,193,237405
standard_quicksort,reverse_sorted,1800,9,192,237405
standard_quicksort,reverse_sorted,1800,10,184,237405
standard_quicksort,reverse_sorted,1900,1,186,233465
standard_quicksort,reverse_sorted,1900,2,185,233465
standard_quicksort,reverse_sorted,1900,3,189,233465
standard_quicksort,reverse_sorted,1900,4,188,233465
standard_quicksort,reverse_sorted,1900,5,203,233465
standard_quicksort,reverse_sorted,1900,6,185,233465
standard_quicksort,reverse_sorted,1900,7,188,233465
standard_quicksort,reverse_sorted,1900,8,184,233465
standard_quicksort,reverse_sorted,1900,9,182,233465
standard_quicksort,reverse_sorted,1900,10,210,233465
standard_quicksort,reverse_sorted,2000,1,197,235833
standard_quicksort,reverse_sorted,2000,2,189,235833
standard_quicksort,reverse_sorted,2000,3,186,235833
standard_quicksort,reverse_sorted,2000,4,186,235833
standard_quicksort,reverse_sorted,2000,5,206,235833
standard_quicksort,reverse_sorted,2000,6,181,235833
standard_quicksort,reverse_sorted,2000,7,181,235833
standard_quicksort,reverse_sorted,2000,8,203,235833
standard_quicksort,reverse_sorted,2000,9,191,235833
standard_quicksort,reverse_sorted,2000,10,181,235833
standard_quicksort,reverse_sorted,2100,1,198,255244
standard_quicksort,reverse_sorted,2100,2,199,255244
standard_quicksort,reverse_sorted,2100,3,203,255244
standard_quicksort,reverse_sorted,2100,4,194,255244
standard_quicksort,reverse_sorted,2100,5,214,255244
standard_quicksort,reverse_sorted,2100,6,203,255244
standard_quicksort,reverse_sorted,2100,7,198,255244
standard_quicksort,reverse_sorted,2100,8,200,255244
standard_quicksort,reverse_sorted,2100,9,200,255244
standard_quicksort,reverse_sorted,2100,10,205,255244
standard_quicksort,reverse_sorted,2200,1,419,273428
standard_quicksort,reverse_sorted,2200,2,214,273428
standard_quicksort,reverse_sorted,2200,3,580,273428
standard_quicksort,reverse_sorted,2200,4,315,273428
standard_quicksort,reverse_sorted,2200,5,252,273428
standard_quicksort,reverse_sorted,2200,6,223,273428
standard_quicksort,reverse_sorted,2200,7,223,273428
standard_quicksort,reverse_sorted,2200,8,217,273428
standard_quicksort,reverse_sorted,2200,9,213,273428
standard_quicksort,reverse_sorted,2200,10,207,273428
standard_quicksort,reverse_sorted,2300,1,236,301549
standard_quicksort,reverse_sorted,2300,2,232,301549
standard_quicksort,reverse_sorted,2300,3,254,301549
standard_quicksort,reverse_sorted,2300,4,235,301549
standard_quicksort,reverse_sorted,2300,5,236,301549
standard_quicksort,reverse_sorted,2300,6,255,301549
standard_quicksort,reverse_sorted,2300,7,235,301549
standard_quicksort,reverse_sorted,2300,8,236,301549
standard_quicksort,reverse_sorted,2300,9,255,301549
standard_quicksort,reverse_sorted,2300,10,227,301549
standard_quicksort,reverse_sorted,2400,1,245,318333
standard_quicksort,reverse_sorted,2400,2,273,318333
standard_quicksort,reverse_sorted,2400,3,242,318333
standard_quicksort,reverse_sorted,2400,4,298,318333
standard_quicksort,reverse_sorted,2400,5,264,318333
standard_quicksort,reverse_sorted,2400,6,242,318333
standard_quicksort,reverse_sorted,2400,7,245,318333
standard_quicksort,reverse_sorted,2400,8,245,318333
standard_quicksort,reverse_sorted,2400,9,255,318333
standard_quicksort,reverse_sorted,2400,10,251,318333
standard_quicksort,reverse_sorted,2500,1,268,345551
standard_quicksort,reverse_sorted,2500,2,295,345551
standard_quicksort,reverse_sorted,2500,3,269,345551
standard_quicksort,reverse_sorted,2500,4,283,345551
standard_quicksort,reverse_sorted,2500,5,262,345551
standard_quicksort,reverse_sorted,2500,6,267,345551
standard_quicksort,reverse_sorted,2500,7,268,345551
standard_quicksort,reverse_sorted,2500,8,263,345551
standard_quicksort,reverse_sorted,2500,9,280,345551
standard_quicksort,reverse_sorted,2500,10,267,345551
standard_quicksort,reverse_sorted,2600,1,305,370014
standard_quicksort,reverse_sorted,2600,2,288,370014
standard_quicksort,reverse_sorted,2600,3,276,370014
standard_quicksort,reverse_sorted,2600,4,577,370014
standard_quicksort,reverse_sorted,2600,5,384,370014
standard_quicksort,reverse_sorted,2600,6,368,370014
standard_quicksort,reverse_sorted,2600,7,457,370014
standard_quicksort,reverse_sorted,2600,8,277,370014
standard_quicksort,reverse_sorted,2600,9,279,370014
standard_quicksort,reverse_sorted,2600,10,290,370014
standard_quicksort,reverse_sorted,2700,1,308,389570
standard_quicksort,reverse_sorted,2700,2,293,389570
standard_quicksort,reverse_sorted,2700,3,302,389570
standard_quicksort,reverse_sorted,2700,4,302,389570
standard_quicksort,reverse_sorted,2700,5,315,389570
standard_quicksort,reverse_sorted,2700,6,302,389570
standard_quicksort,reverse_sorted,2700,7,326,389570
standard_quicksort,reverse_sorted,2700,8,301,389570
standard_quicksort,reverse_sorted,2700,9,296,389570
standard_quicksort,reverse_sorted,2700,10,343,389570
standard_quicksort,reverse_sorted,2800,1,330,409699
standard_quicksort,reverse_sorted,2800,2,317,409699
standard_quicksort,reverse_sorted,2800,3,334,409699
standard_quicksort,reverse_sorted,2800,4,307,409699
standard_quicksort,reverse_sorted,2800,5,322,409699
standard_quicksort,reverse_sorted,2800,6,324,409699
standard_quicksort,reverse_sorted,2800,7,306,409699
standard_quicksort,reverse_sorted,2800,8,333,409699
standard_quicksort,reverse_sorted,2800,9,314,409699
standard_quicksort,reverse_sorted,2800,10,327,409699
standard_quicksort,reverse_sorted,2900,1,330,434594
standard_quicksort,reverse_sorted,2900,2,350,434594
standard_quicksort,reverse_sorted,2900,3,353,434594
standard_quicksort,reverse_sorted,2900,4,352,434594
standard_quicksort,reverse_sorted,2900,5,324,434594
standard_quicksort,reverse_sorted,2900,6,344,434594
standard_quicksort,reverse_sorted,2900,7,328,434594
standard_quicksort,reverse_sorted,2900,8,377,434594
standard_quicksort,reverse_sorted,2900,9,327,434594
standard_quicksort,reverse_sorted,2900,10,336,434594
standard_quicksort,reverse_sorted,3000,1,408,460208
standard_quicksort,reverse_sorted,3000,2,366,460208
standard_quicksort,reverse_sorted,3000,3,350,460208
standard_quicksort,reverse_sorted,3000,4,366,460208
standard_quicksort,reverse_sorted,3000,5,350,460208
standard_quicksort,reverse_sorted,3000,6,368,460208
standard_quicksort,reverse_sorted,3000,7,351,460208
standard_quicksort,reverse_sorted,3000,8,371,460208
standard_quicksort,reverse_sorted,3000,9,351,460208
standard_quicksort,reverse_sorted,3000,10,369,460208
standard_quicksort,nearly_sorted,100,1,11,13986
standard_quicksort,nearly_sorted,100,2,11,13986
standard_quicksort,nearly_sorted,100,3,10,13986
standard_quicksort,nearly_sorted,100,4,10,13986
standard_quicksort,nearly_sorted,100,5,10,13986
standard_quicksort,nearly_sorted,100,6,10,13986
standard_quicksort,nearly_sorted,100,7,9,13986
standard_quicksort,nearly_sorted,100,8,9,13986
standard_quicksort,nearly_sorted,100,9,10,13986
standard_quicksort,nearly_sorted,100,10,9,13986
